kepid,plnt num,kname,dispos,GB_vif,RF_vif,LR,DT,eb,_merge
11253711,1,K01972.01,CAND,-,-,0.754,0.785,No,left_only
6467363,1,K02840.01,CAND,-,-,0.753,0.682,No,left_only
4756776,2,-,-,-,-,0.752,0.441,No,left_only
11967788,1,K04021.01,CAND,-,-,0.752,0.75,No,left_only
3425851,1,K00268.01,CAND,-,-,0.752,0.851,No,left_only
11656840,2,-,-,-,-,0.75,-,No,both
8780959,2,K03741.02,FP,-,-,0.75,0.831,No,left_only
10294509,1,K04143.01,FP,-,-,0.75,-,No,left_only
6058816,1,K03500.01,CAND,-,-,0.749,0.836,No,left_only
11657614,1,K03370.01,CAND,-,-,0.749,0.758,No,left_only
5978361,1,K00558.01,CAND,-,-,0.746,0.738,No,left_only
7877978,1,K02760.01,CAND,-,-,0.745,0.809,No,left_only
10793172,2,K02871.02,CAND,-,-,0.743,0.723,No,left_only
11026582,1,K05854.01,CAND,-,-,0.742,-,No,left_only
2854181,1,K02232.01,CAND,-,-,0.742,0.821,No,left_only
5384713,2,K03444.02,FP,-,-,0.741,0.69,No,both
12120307,3,K02597.03,CAND,-,-,0.741,0.618,No,left_only
7135852,1,K00875.01,CAND,-,-,0.74,0.767,No,left_only
9230021,1,K03429.01,CAND,-,-,0.739,0.735,No,left_only
8678594,2,K01261.02,CAND,-,-,0.736,0.863,No,left_only
5384713,3,K03444.03,CAND,-,-,0.736,0.661,No,both
3098810,1,K01878.01,CAND,-,-,0.733,0.584,No,left_only
6342333,1,K02065.01,CAND,-,-,0.728,0.733,No,left_only
9729691,2,K01751.02,FP,-,-,0.726,-,No,left_only
3859628,1,K01191.01,CAND,-,-,0.724,0.788,No,left_only
10793172,1,K02871.01,CAND,-,-,0.721,0.758,No,left_only
10319385,1,K01169.01,CAND,-,-,0.72,0.751,No,left_only
5787131,1,K02927.01,CAND,-,-,0.72,0.766,No,left_only
8564976,1,K03890.01,CAND,-,-,0.716,-,No,left_only
6803202,1,K00177.01,CAND,-,0.503,0.714,0.91,No,left_only
4860678,1,K01602.01,CAND,-,-,0.714,0.741,No,left_only
7183745,2,K02521.02,CAND,-,-,0.714,0.855,No,left_only
7287415,1,K01369.01,CAND,-,-,0.713,0.937,No,left_only
11718144,1,K02310.01,CAND,-,-,0.713,0.833,No,left_only
6719086,1,K01357.01,CAND,-,-,0.713,0.715,No,left_only
11244682,1,K03933.01,CAND,-,-,0.712,0.882,No,left_only
9414417,1,K00974.01,CAND,-,-,0.712,-,No,left_only
10513530,2,K00533.02,CAND,-,-,0.712,-,No,left_only
12785320,2,K00298.02,CAND,-,-,0.71,0.729,No,left_only
10973664,2,K00601.02,CAND,-,-,0.709,-,No,left_only
9030537,1,K01892.01,CAND,-,-,0.707,0.545,No,left_only
