kepid,tce_plnt_num,kepoi_name,koi_disposition,DT
9936080,1,K04431.01,CANDIDATE,0.554
7918478,1,K04209.01,CANDIDATE,0.553
3559860,1,K03440.01,FALSE POSITIVE,0.551
10464078,2,,,0.551
9836563,1,K04421.01,CANDIDATE,0.551
10587105,3,K00339.03,CANDIDATE,0.55
8056665,2,K00089.02,CANDIDATE,0.55
9836959,1,K01715.01,CANDIDATE,0.55
8261920,2,K02174.02,CANDIDATE,0.549
9020114,1,K03088.01,CANDIDATE,0.549
5428657,1,K06130.01,CANDIDATE,0.549
8261920,3,K02174.03,CANDIDATE,0.549
10005758,2,K01783.02,CANDIDATE,0.548
10874215,1,K02305.01,CANDIDATE,0.548
8758204,1,K02841.01,CANDIDATE,0.547
9086251,1,K02367.01,CANDIDATE,0.547
10265898,2,K00732.02,CANDIDATE,0.546
9030537,1,K01892.01,CANDIDATE,0.545
8827575,1,K03052.01,CANDIDATE,0.544
11705004,1,K02199.01,CANDIDATE,0.544
11125797,1,K03371.01,CANDIDATE,0.543
7512982,2,K01480.02,CANDIDATE,0.543
6131236,1,K01051.01,CANDIDATE,0.542
9472000,1,K02082.01,CANDIDATE,0.541
12257999,1,K02577.01,CANDIDATE,0.539
8804283,2,K01276.02,CANDIDATE,0.537
4172805,1,K04427.01,CANDIDATE,0.536
5106313,1,K02878.01,CANDIDATE,0.536
12061969,1,K02061.01,FALSE POSITIVE,0.536
11076400,1,K02759.01,CANDIDATE,0.535
8390826,1,,,0.535
6041734,2,,,0.534
10055126,3,K01608.03,CANDIDATE,0.534
7939330,1,K01581.01,CANDIDATE,0.532
6677841,3,,,0.531
5450814,2,,,0.531
4547480,2,,,0.53
4860678,2,K01602.02,CANDIDATE,0.53
5095635,1,K02607.01,CANDIDATE,0.529
5476864,2,,,0.529
8753896,2,,,0.528
9552608,2,,,0.527
7107802,2,K02420.02,CANDIDATE,0.527
9002538,1,K03196.01,CANDIDATE,0.527
5897826,3,,,0.527
5724810,1,,,0.526
5544450,2,K03226.02,CANDIDATE,0.526
4466677,2,K01338.02,CANDIDATE,0.526
6945786,1,K03136.01,CANDIDATE,0.526
9716028,1,K04273.01,CANDIDATE,0.525
6061773,1,K02001.01,CANDIDATE,0.525
2574338,1,K01030.01,CANDIDATE,0.525
9474222,2,,,0.524
7678434,2,K00892.02,CANDIDATE,0.522
11599038,2,K01437.02,FALSE POSITIVE,0.521
8624520,1,K01816.01,CANDIDATE,0.521
5103942,2,,,0.521
2019477,1,K06093.01,FALSE POSITIVE,0.52
4061149,1,K01201.01,CANDIDATE,0.52
5436338,1,K02835.01,CANDIDATE,0.519
6955650,1,,,0.518
8396405,1,K01733.01,CANDIDATE,0.517
4912650,1,K05098.01,CANDIDATE,0.516
5004909,1,K03421.01,FALSE POSITIVE,0.516
4060229,1,K04570.01,CANDIDATE,0.515
3239671,1,K02066.01,CANDIDATE,0.515
7041634,2,,,0.514
8110767,1,K02504.01,CANDIDATE,0.514
9288237,1,K03114.01,CANDIDATE,0.514
9896018,3,K02579.03,CANDIDATE,0.513
6026737,1,K02949.01,CANDIDATE,0.511
11246161,2,,,0.51
6593150,1,K03037.01,CANDIDATE,0.51
11465950,1,K02620.01,CANDIDATE,0.509
6153407,1,K03179.01,CANDIDATE,0.508
8838950,1,K02421.01,CANDIDATE,0.507
11869052,1,K00120.01,CANDIDATE,0.506
8963721,1,K02233.01,FALSE POSITIVE,0.506
5351250,5,K00408.05,FALSE POSITIVE,0.503
8261920,1,K02174.01,CANDIDATE,0.503
5542466,2,K01590.02,CANDIDATE,0.502
11517719,2,,,0.501
9650989,1,K03095.01,CANDIDATE,0.501
2986833,1,K04875.01,CANDIDATE,0.501
10471621,1,K02554.01,CANDIDATE,0.499
10666592,2,,,0.498
4385148,2,K02942.02,CANDIDATE,0.498
4547603,1,K02855.01,CANDIDATE,0.497
5906426,1,K02377.01,CANDIDATE,0.496
7288444,1,K03482.01,CANDIDATE,0.496
10717241,2,K00430.02,CANDIDATE,0.495
7377033,1,K00882.01,FALSE POSITIVE,0.494
7450747,1,K04267.01,CANDIDATE,0.494
8630788,3,K01258.03,CANDIDATE,0.494
3561464,3,K03398.03,CANDIDATE,0.494
6792908,1,K04341.01,CANDIDATE,0.494
6268648,2,K01613.02,CANDIDATE,0.494
1849702,1,K02538.01,CANDIDATE,0.493
9334893,1,K02298.01,CANDIDATE,0.492
9517393,1,K02076.01,CANDIDATE,0.491
11968463,4,K02433.04,CANDIDATE,0.49
8409588,1,K00690.01,FALSE POSITIVE,0.49
9489524,4,K02029.04,CANDIDATE,0.489
8894646,1,K02641.01,CANDIDATE,0.485
9032900,2,,,0.481
9086154,1,K04060.01,CANDIDATE,0.481
4770365,3,K01475.03,CANDIDATE,0.48
12301181,2,K02059.02,CANDIDATE,0.476
2852941,1,K04298.01,CANDIDATE,0.476
8260218,1,K01066.01,CANDIDATE,0.475
9700145,4,,,0.474
7880676,2,,,0.473
7222086,1,K01701.01,CANDIDATE,0.469
12164634,2,,,0.466
11246161,1,K02796.01,CANDIDATE,0.465
3448132,2,,,0.462
6721523,5,,,0.462
2444412,1,K00103.01,CANDIDATE,0.459
4739229,2,,,0.456
8313667,1,K01145.01,CANDIDATE,0.455
5551672,1,K03119.01,CANDIDATE,0.452
9032900,4,,,0.446
4756776,2,,,0.441
7117284,2,,,0.44
11509792,1,,,0.436
3338885,2,K01845.02,CANDIDATE,0.434
9283002,3,,,0.431
6387450,2,,,0.43
3437940,2,,,0.424
10863286,2,,,0.423
2447832,5,,,0.421
3323887,3,,,0.42
5446285,3,,,0.418
6500206,1,K02451.01,FALSE POSITIVE,0.418
12302530,3,,,0.416
9458754,4,,,0.411
1718958,1,K04053.01,CANDIDATE,0.411
8328003,6,,,0.41
10018866,2,,,0.41
6762829,5,,,0.409
8264404,2,,,0.406
8702921,3,,,0.405
2984632,2,,,0.405
6115603,3,,,0.403
10621643,5,,,0.396
3120650,5,,,0.38
5689351,6,,,0.375
8631751,1,K02453.01,CANDIDATE,0.373
9897838,1,,,0.372
5384713,5,,,0.368
4769931,1,K04058.01,FALSE POSITIVE,0.36
12164634,3,,,0.347
