kepid,plnt num,kname,dispos,GB_vif,DT
3554031,2,K01194.02,FP,-,0.635
7749773,1,K02848.01,CAND,-,0.634
11071200,1,K02696.01,CAND,-,0.633
10155029,1,K03208.01,CAND,-,0.632
7879433,1,K02527.01,CAND,-,0.632
10345478,2,-,-,-,0.632
10386922,1,K00289.01,CAND,-,0.631
11013201,2,K00972.02,FP,-,0.631
5475042,1,K03050.01,CAND,-,0.63
11856178,1,K06246.01,CAND,-,0.629
4676964,1,K03069.01,CAND,-,0.627
9472074,1,K02735.01,CAND,-,0.625
9283156,1,K02657.01,CAND,-,0.625
5881120,1,K04156.01,CAND,-,0.621
3545135,1,K02755.01,CAND,-,0.62
5003670,1,K04524.01,CAND,-,0.619
12120307,3,K02597.03,CAND,-,0.618
4919550,1,K04766.01,CAND,-,0.617
3663173,1,K02750.01,CAND,-,0.616
9654468,1,K02417.01,CAND,-,0.615
8824737,1,K03347.01,CAND,-,0.615
5098444,2,-,-,-,0.615
2975770,2,K01788.02,FP,-,0.614
3629967,1,K01901.01,CAND,-,0.614
8022489,1,K02674.01,CAND,-,0.614
5308537,1,K04409.01,CAND,-,0.608
10074466,1,K01917.01,CAND,-,0.606
1724719,2,K04212.02,CAND,-,0.606
6523351,1,K03117.01,CAND,-,0.606
11177543,1,K01648.01,CAND,-,0.605
12208631,1,K02449.01,CAND,-,0.602
7120108,1,K02325.01,CAND,-,0.602
5792202,4,K00841.04,FP,-,0.602
4548011,2,K04288.02,CAND,-,0.601
12406807,1,K03091.01,CAND,-,0.601
11192235,1,K02329.01,CAND,-,0.599
4150390,2,-,-,-,0.596
9011877,1,K05597.01,CAND,-,0.595
12602314,1,K02853.01,CAND,-,0.595
7609674,1,K03128.01,CAND,-,0.594
5979863,2,-,-,-,0.593
4157325,4,K01860.04,FP,-,0.592
9166700,1,K05632.01,CAND,-,0.591
6871071,4,K02220.04,CAND,-,0.589
3634051,1,K06103.01,FP,-,0.587
11124436,1,K04442.01,CAND,-,0.586
6975129,3,K01628.03,FP,-,0.586
11967788,2,K04021.02,CAND,-,0.585
6268648,3,K01613.03,CAND,-,0.585
11030711,1,K01429.01,CAND,-,0.585
5031857,2,K01573.02,CAND,-,0.584
3098810,1,K01878.01,CAND,-,0.584
7826659,1,K02686.01,CAND,-,0.584
7219825,3,K00238.03,CAND,-,0.58
1872821,1,K02351.01,CAND,-,0.579
8540376,1,K07892.01,CAND,-,0.577
8684730,1,K00319.01,CAND,-,0.575
7106173,1,K03083.01,CAND,-,0.575
10813078,1,K05831.01,CAND,-,0.575
7137725,1,K01699.01,FP,-,0.574
9411317,2,-,-,-,0.574
9071593,2,K02257.02,CAND,-,0.573
7446631,1,K02598.01,CAND,-,0.572
7661065,1,K02307.01,CAND,-,0.571
10788461,1,K03925.01,CAND,-,0.571
5003670,2,K04524.02,CAND,-,0.569
10514430,4,-,-,-,0.568
11200405,2,-,-,-,0.567
11818607,1,K02467.01,CAND,-,0.567
7289577,1,K01974.01,CAND,-,0.566
8013419,1,K00901.01,CAND,-,0.566
3862246,2,-,-,-,0.565
4857058,1,K03061.01,CAND,-,0.565
11081504,1,K04287.01,CAND,-,0.565
2973386,1,K03034.01,CAND,-,0.565
