kepid,tce_plnt_num,kepoi_name,koi_disposition,DT_vif
11970988,1,K04129.01,CANDIDATE,0.5423495988003839
6131659,3,,,0.5401742497579863
12470530,3,,,0.5401742497579863
2580872,4,,,0.5401390689150964
9468199,3,,,0.5401390689150964
4753561,3,,,0.5401390689150964
7200463,4,,,0.540072202166065
12469800,1,K02543.01,CANDIDATE,0.5362788812322659
4547603,1,K02855.01,CANDIDATE,0.5362788812322659
9635606,1,K02535.01,CANDIDATE,0.5362788812322659
8410415,1,K02291.01,CANDIDATE,0.5362788812322659
7449554,1,K02357.01,CANDIDATE,0.5362788812322659
11551430,1,,,0.5362233279919035
6185476,4,,,0.5340699815837938
8149616,7,,,0.5333423876137444
6425928,5,,,0.5333423876137444
9832655,2,,,0.533174890434555
10018866,2,,,0.5325610079782666
4150496,1,K04046.01,FALSE POSITIVE,0.5315510855642978
6307083,2,K02050.02,CANDIDATE,0.5315510855642978
3554600,2,,,0.5315510855642978
3348082,1,K01196.01,FALSE POSITIVE,0.5315510855642978
10666592,4,,,0.5294117647058824
9009953,1,K04014.01,CANDIDATE,0.5282851569427203
8265218,1,K00522.01,CANDIDATE,0.5282851569427203
4061149,1,K01201.01,CANDIDATE,0.5282851569427203
8376848,1,K04007.01,CANDIDATE,0.5282851569427203
8758204,1,K02841.01,CANDIDATE,0.5282851569427203
6049190,1,K01685.01,CANDIDATE,0.5282851569427203
4471747,1,K01656.01,CANDIDATE,0.5282851569427203
11462341,1,K02124.01,CANDIDATE,0.5282851569427203
11465651,1,K04150.01,CANDIDATE,0.5282851569427203
5695524,1,K01897.01,CANDIDATE,0.5282851569427203
3663173,1,K02750.01,CANDIDATE,0.5282851569427203
8591693,1,K02123.01,CANDIDATE,0.5282851569427203
5786676,1,K00650.01,CANDIDATE,0.5282851569427203
9117416,1,K03425.01,CANDIDATE,0.5282851569427203
7750419,1,K01708.01,CANDIDATE,0.5282851569427203
10874215,1,K02305.01,CANDIDATE,0.5282851569427203
5544450,1,K03226.01,CANDIDATE,0.5282851569427203
5716932,1,K02358.01,CANDIDATE,0.5282851569427203
3967326,1,K02084.01,CANDIDATE,0.5282851569427203
9661979,1,K02132.01,CANDIDATE,0.5282851569427203
10418797,2,,,0.5282851569427203
7948784,1,K01968.01,CANDIDATE,0.5282851569427203
