kepid,tce_plnt_num,kepoi_name,bDT
5900260,2,,1.0
6050127,3,,1.0
6050127,4,,1.0
6041734,2,,1.0
6025466,1,,1.0
6113871,2,,1.0
5962532,3,,1.0
5298466,1,,1.0
5360082,2,,1.0
5297343,1,,1.0
5270698,2,,1.0
5546521,2,,1.0
5563507,2,,1.0
5473584,10,,1.0
5623915,1,,1.0
5480528,6,,1.0
5597644,1,,1.0
5475494,2,,1.0
5537188,1,,1.0
5560691,2,,1.0
5475641,5,,1.0
5632912,2,,1.0
5636642,2,,1.0
5376836,2,,1.0
5370646,1,,1.0
5370646,2,,1.0
5459805,3,,1.0
5460274,1,,1.0
5306631,1,,1.0
5450814,2,,1.0
5342558,9,,1.0
5443410,1,,1.0
5978154,3,,1.0
6042423,1,,1.0
6065699,5,,1.0
5696909,2,,1.0
5780885,2,,1.0
5810113,1,,1.0
6544977,4,,1.0
6545018,2,,1.0
6545018,3,,1.0
6446130,1,,1.0
6471244,1,,1.0
6511354,1,,1.0
6388333,1,,1.0
6421759,3,,1.0
6428850,3,,1.0
6448362,2,,1.0
6500206,2,,1.0
6448768,3,,1.0
6462874,4,,1.0
6504534,3,,1.0
6370174,4,,1.0
6462901,1,,1.0
6423857,1,,1.0
6464938,1,,1.0
6443122,1,,1.0
5728283,2,,1.0
5822633,1,,1.0
6104237,1,,1.0
5769403,4,,1.0
6037983,1,,1.0
6045223,1,,1.0
6067817,2,,1.0
5966097,1,,1.0
5709193,1,,1.0
5818068,8,,1.0
5724810,1,,1.0
5650062,2,,1.0
5818706,1,,1.0
5819013,1,,1.0
5710376,1,,1.0
5732847,1,,1.0
5710376,3,,1.0
5710376,4,,1.0
5710376,5,,1.0
5792900,2,,1.0
5822171,2,,1.0
5705927,1,,1.0
5794197,1,,1.0
5794197,2,,1.0
5705927,3,,1.0
11922283,4,,1.0
