kepid,tce_plnt_num,kepoi_name,koi_disposition,DT_vif,bLR,mean
8456679,2,K00102.02,FALSE POSITIVE,0.7878999678388204,0.9725159129079906,0.8802079403734056
9823487,1,K01489.01,CANDIDATE,0.8064968450572564,0.9523545895772424,0.8794257173172494
5872150,3,,,0.7933162510375691,0.9611761917685856,0.8772462214030774
11657614,1,K03370.01,CANDIDATE,0.7933162510375691,0.9600011875154713,0.8766587192765202
8953059,2,,,0.9956475412736544,0.7570214269864773,0.8763344841300659
8686150,2,,,0.9337044400265077,0.8172703483862725,0.8754873942063901
9837661,3,K02715.03,CANDIDATE,0.8064968450572564,0.9371698530888204,0.8718333490730383
9266431,1,K00704.01,CANDIDATE,0.8064968450572564,0.9353536393437208,0.8709252422004886
5374854,2,K00645.02,CANDIDATE,0.7774353092968247,0.9583509991714618,0.8678931542341433
2438513,1,K01944.01,CANDIDATE,0.7774353092968247,0.9564759061575135,0.8669556077271692
11030475,1,K02248.01,CANDIDATE,0.8064968450572564,0.9140922251587094,0.8602945351079829
7584650,1,K02631.01,CANDIDATE,0.8064968450572564,0.9108807975270121,0.8586888212921342
11568987,2,K00354.02,CANDIDATE,0.7220272521275892,0.9909135693583936,0.8564704107429915
9244756,1,K01969.01,CANDIDATE,0.8064968450572564,0.900314392846847,0.8534056189520517
4851464,2,,,0.8998685820967078,0.8047904964273186,0.8523295392620132
5770074,1,K01928.01,CANDIDATE,0.8064968450572564,0.8973762406006319,0.8519365428289442
2440757,1,K00792.01,FALSE POSITIVE,0.9694309074066616,0.7311331419256001,0.8502820246661309
11709124,2,,,0.9956475412736544,0.7005503728619059,0.8480989570677802
11122894,3,K01426.03,CANDIDATE,0.9337044400265077,0.7616524546482625,0.8476784473373851
12120943,1,K01458.01,CANDIDATE,0.8864682321210752,0.8077597110284194,0.8471139715747473
4548098,1,K04157.01,CANDIDATE,0.7933162510375691,0.9002276290164605,0.8467719400270148
5369827,1,K02690.01,CANDIDATE,0.7933162510375691,0.8997679758585077,0.8465421134480384
10337517,1,K01165.01,CANDIDATE,0.9337044400265077,0.7590626062290607,0.8463835231277842
11771430,1,K02582.01,CANDIDATE,0.8064968450572564,0.8845551416920641,0.8455259933746602
11566064,2,K00353.02,CANDIDATE,0.8064968450572564,0.8799826944744296,0.8432397697658429
4140813,1,K02117.01,CANDIDATE,0.8064968450572564,0.8759405866394341,0.8412187158483453
8018547,1,K00902.01,CANDIDATE,0.8788410886742757,0.7973748198074154,0.8381079542408456
3122913,1,K02490.01,CANDIDATE,0.914349901713002,0.7610775296136286,0.8377137156633153
3940418,1,K00810.01,CANDIDATE,0.7090909090909091,0.960826031689759,0.8349584703903341
11601584,3,K01831.03,CANDIDATE,0.8064968450572564,0.8584713150579496,0.832484080057603
6698670,2,,,0.8357103001897109,0.8220630651856848,0.8288866826876979
7522911,1,K01705.01,CANDIDATE,0.7933162510375691,0.8625511301307918,0.8279336905841804
11752906,1,K00253.01,CANDIDATE,0.9337044400265077,0.7173313369556545,0.8255178884910811
2574338,1,K01030.01,CANDIDATE,0.7005718711436614,0.9498333570409332,0.8252026140922972
3734868,2,,,0.6791416886100061,0.9705486469274636,0.8248451677687348
3545135,1,K02755.01,CANDIDATE,0.6791416886100061,0.9691098362589567,0.8241257624344814
7287415,1,K01369.01,CANDIDATE,0.6947181392343725,0.9532005125648976,0.823959325899635
6356692,1,K02948.01,CANDIDATE,0.6588536377300239,0.987889045714822,0.8233713417224229
8823868,2,,,0.8998685820967078,0.7398114820451769,0.8198400320709424
9279354,1,K02060.01,CANDIDATE,0.7774353092968247,0.8606106212357908,0.8190229652663077
5356593,2,,,0.8064968450572564,0.8312294144355405,0.8188631297463984
5728283,2,,,0.9572656152004964,0.6775455972146671,0.8174056062075817
