"koi_disposition","kepid","kepoi_name","tce_plnt_num","tce_ingress","tce_model_chisq","tce_insol","tce_sradius","tce_mesmedian","tce_minmesd","tce_bin_oedp_stat","tce_albedo","tce_rb_tcount3","tce_fwm_stat","tce_fwm_srao","tce_fwm_pdeco","tce_impact_sn","tce_duration_sn","tce_depth_sn","tce_sma_sn","tce_insol_sn","tce_smet_sn","tce_fwm_srao_sn","tce_fwm_sdeco_sn","tce_fwm_pdeco_sn","tce_dicco_msky_sn"
"CANDIDATE",5544450,"K03226.02",2,0.08102,3683,687.84,1.574,0.04801,2.432,0.3334,19.45,0,12.119,-0.1808,5.481e-05,1.60146290491118,24.9115646258503,9.60212201591512,6.18976377952756,4.0833481745325,0.2,-0.430476190476191,-1.30561797752809,1.76237942122187,0.487391304347826
"FALSE POSITIVE",8975368,"K03227.01",1,0.06826,9450,1705.66,1.316,-0.2002,-0.4167,2.001,4.11,0,220.77,-0.6949,-0.0002108,2.87133041848844,7.76827704147071,11.2171299774606,4.09337420419712,2.41916999971634,-1.06666666666667,-0.661809523809524,7.75434782608696,-7.66545454545455,12.355632183908
"FALSE POSITIVE",5307990,"K03228.01",1,0.02358,16250,45721.93,2.022,-0.8139,0.375,0.1775,0.7213,0,1214.8,-13.48,0.0003266,3.65562632696391,16.5505940188447,9.51949586451359,3.43326098752035,2.26574445047362,0.0933333333333333,-14.4171122994652,-16.0955710955711,15.7777777777778,157.375979112272
"FALSE POSITIVE",9291039,"K03230.01",1,10.04,21820,236.45,1.21,-0.2385,-2.098,0.8754,23.61,0,0,-0.6123,3.111e-05,141.583594417545,19.0788224121557,3.50770308123249,5.87663680220538,3.63601414731662,0.133333333333333,-1.46834532374101,-1.36181434599156,1.30167364016736,1.97896640826873
"FALSE POSITIVE",9291039,"K03230.02",2,0.145,75.17,1.2,1.21,-0.08437,-96.97,0,10640,0,0,-0.07365,1.815e-05,0.263522561863173,0.530806737588652,1.44805608667941,5.87714987714988,3.63636363636364,0.133333333333333,-0.0327333333333333,-0.0749186991869919,0.0645907473309609,9.17002583979328
"FALSE POSITIVE",10489539,"K03231.01",1,0.8514,6223,155.72,1.617,-0.0616,7.37,0.04812,152.6,1,208.79,-12.72,-0.0001197,22.9552165354331,24.9719206289779,10.1464367068012,3.16673755848575,1.90320215106331,-0.4,-12.1142857142857,2.22010178117048,-2.44285714285714,33.8947136563877
"CANDIDATE",9569711,"K03232.01",1,0.09009,2510,214.92,0.962,0.04151,-1.066,0.008011,9.218,0,2.4335,0.3038,-2.84e-05,4.40313111545988,8.87669464170432,26.1016949152542,7.59050305594734,4.5255843335439,0.266666666666667,0.732048192771084,0.729154518950437,-0.565737051792829,0.828112449799197
"CANDIDATE",10057494,"K03234.01",1,0.09286,9889,1558.54,1.239,0.1118,0.9479,0.09612,8.68,0,3.2075,-0.6979,-1.281e-05,3.77652933832709,11.1696471725471,14.9558967657628,6.68665939658306,4.29930208821826,0,-1.35251937984496,0.281908548707754,-0.55695652173913,1.9211575562701
"CANDIDATE",7902003,"K03236.01",1,0.08408,4087,910.48,2.074,-0.04772,2.581,0.6637,18.01,0,1.6246,0.1905,2.283e-05,2.4802089059923,9.24566768603466,9.1016333938294,4.58188932364449,2.87127089246295,0.666666666666667,0.156147540983607,-0.831339285714286,0.677448071216617,1.83264150943396
"CANDIDATE",6587796,"K03237.01",1,0.4589,1127,27.06,1.066,0.005754,3.835,0.6412,154,0,0.47212,-0.06943,-2.436e-06,15.25977410947,27.1959798994975,30.1401869158879,7.75596612779061,4.8494623655914,0.533333333333333,-0.383591160220995,1.32577319587629,-0.0315953307392996,0.138512195121951
