"koi_disposition","kepid","kepoi_name","tce_incl","tce_impact","tce_slogg_prov","tce_albedo_stat","tce_fwm_pdeco","tce_ingress_sn"
"FALSE POSITIVE",9528420,"K01742.01",86.32,0.4221,7,1.804,0.001173,404.213811939134
"FALSE POSITIVE",6364327,"K01744.01",30.59,0.9997,7,0.3754,0.0001742,31.5746500777605
"FALSE POSITIVE",9574614,"K01745.01",74.65,0.9,7,-15.7,-0.0003828,13.6755646817248
"CANDIDATE",8197343,"K01746.01",87.13,0.8306,26,1.053,-0.0003317,0.251404151404151
"CANDIDATE",7032421,"K01747.01",88.51,0.9751,26,0.5887,-0.0003114,5.92207792207792
"FALSE POSITIVE",7593110,"K01748.01",84.96,0.8993,7,1.782,-0.0004292,597.963142580019
"CANDIDATE",6786348,"K01749.01",88.99,0.6969,7,0.6891,0.0004267,0.156232939035487
"CANDIDATE",6209677,"K01750.01",83.75,0.8693,26,0.9867,-0.0001944,0.318905070118662
"CANDIDATE",6209677,"K01750.02",80.87,0.8906,26,0.624,-0.0001065,0.140367965367965
"CANDIDATE",9729691,"K01751.01",87.21,0.7931,7,1.543,5.036e-05,1.03231679563041
"FALSE POSITIVE",9729691,"K01751.02",86.07,0.9936,7,0.4763,0.0004387,17.8248847926267
"FALSE POSITIVE",8127586,"K01752.01",88.31,0.7765,7,0.6625,-0.004439,0.126392961876833
"FALSE POSITIVE",4950232,"K01753.01",73.38,0.9081,7,-0.3118,-0.002948,0.362493311931514
"CANDIDATE",8651389,"K01754.01",87.87,0.8988,13,1.441,9.2e-05,0.408879492600423
"FALSE POSITIVE",5302006,"K01755.01",79.98,0.9381,7,1.497,0.03708,3.60018639328984
"FALSE POSITIVE",4851464,"K01757.01",87.69,0.3249,7,2.248,0.006653,163.810101622933
"CANDIDATE",6705142,"K01758.01",86.72,0.8169,7,1.994,0.001133,0.678618421052632
"FALSE POSITIVE",3248019,"K01759.01",77.93,0.7386,7,-123.7,-0.03689,211.035172528755
"CANDIDATE",3967760,"K01760.01",82.99,0.8898,26,1.457,5.217e-05,0.479743469419678
