"koi_disposition","kepid","kepoi_name","tce_chisq1","tce_steff_prov","boot_fap","tce_fwm_pdeco"
"FALSE POSITIVE",5310435,"K06564.01",2235000,5,-1,0.002113
"FALSE POSITIVE",5343976,"K06565.01",7550000,13,-1,-0.001531
"FALSE POSITIVE",5347537,"K06566.01",12260,8,0,0.01094
"FALSE POSITIVE",5347784,"K06567.01",16530000,5,0,-0.03791
"CANDIDATE",5353938,"K06568.01",1188,53,1.7708e-14,4.16e-05
"FALSE POSITIVE",5359678,"K06569.01",8776000,5,0,0.009397
"FALSE POSITIVE",5385469,"K06571.01",633,5,4.2256e-19,-7.309e-05
"FALSE POSITIVE",5385667,"K06573.01",702.2,5,2.6018e-27,-6.802e-05
"FALSE POSITIVE",5389184,"K06575.01",7615,5,1.1962e-16,-0.001195
"FALSE POSITIVE",5393558,"K06576.01",6594000,5,-1,-0.2581
"FALSE POSITIVE",5397905,"K06577.01",4949,5,3.1678e-13,6.245e-05
"FALSE POSITIVE",5444392,"K06578.01",39370000,18,-1,0
"CANDIDATE",5456979,"K06579.01",1964,8,1.3333e-16,-4.544e-05
"FALSE POSITIVE",5460835,"K06580.01",1313000,5,0,-0.006607
"FALSE POSITIVE",5462901,"K06581.01",285200,5,0,0.09476
"CANDIDATE",5466109,"K06582.01",2868,5,4.2381e-16,-3.631e-05
"FALSE POSITIVE",5471010,"K06583.01",665,5,1.0447e-39,0.000243
"FALSE POSITIVE",5471415,"K06586.01",734,8,1.147e-84,0
"FALSE POSITIVE",5471480,"K06587.01",785,5,2.9871e-45,0.0005149
"FALSE POSITIVE",5475712,"K06588.01",8073000,5,-1,0.01583
"FALSE POSITIVE",5479973,"K06589.01",2539000,5,-1,-0.002018
"FALSE POSITIVE",5513833,"K06591.01",9326,53,-1,0.0002172
"FALSE POSITIVE",5529501,"K06592.01",4691,18,1.3471e-15,-5.948e-06
"FALSE POSITIVE",5529560,"K06593.01",10710,8,1.1272e-30,8.766e-06
"FALSE POSITIVE",5530881,"K06594.01",15790000,5,-1,0
"FALSE POSITIVE",5534476,"K06595.01",3810,18,1.0012e-31,-3.852e-05
"FALSE POSITIVE",5534702,"K06596.01",2095000,18,-1,-0.000561
"FALSE POSITIVE",5535280,"K06597.01",278100,5,0,-0.03336
"FALSE POSITIVE",5553624,"K06599.01",55560000,18,-1,0.01064
"CANDIDATE",5597361,"K06601.01",373.8,5,5.0508e-16,7.871e-05
"FALSE POSITIVE",5598639,"K06602.01",20230000,13,0,0
"FALSE POSITIVE",5610698,"K06603.01",7771000,5,-1,0.006488
"FALSE POSITIVE",5621294,"K06606.01",15180000,8,-1,-0.05293
"FALSE POSITIVE",5621299,"K06607.01",8199,18,1.9224e-18,-0.0002121
"FALSE POSITIVE",5622250,"K06608.01",5130000,18,0,0.009778
"FALSE POSITIVE",5632781,"K06609.01",273500000,5,-1,0
"FALSE POSITIVE",5647638,"K06611.01",7699,5,6.0346e-22,-1.804e-05
"FALSE POSITIVE",5653126,"K06612.01",3008000,5,0,0.009298
"FALSE POSITIVE",5653126,"K06612.02",72970,5,0,0.000426
"FALSE POSITIVE",5686974,"K06613.01",1475,5,1.3781e-22,4.143e-05
"FALSE POSITIVE",5696909,"K06614.01",14570,5,0,-0.0009463
"FALSE POSITIVE",5700330,"K06616.01",682800,18,0,0.0002795
"CANDIDATE",5702770,"K06617.01",935.8,5,1.4543e-13,0.0001544
"CANDIDATE",5716244,"K06619.01",1369000,5,0,-0.03728
"FALSE POSITIVE",5725851,"K06620.01",7491,5,2.5126e-12,7.856e-05
"FALSE POSITIVE",5731312,"K06621.01",4121000,5,-1,0
"FALSE POSITIVE",5735878,"K06622.01",685100,5,0,0.00548
"FALSE POSITIVE",5736461,"K06623.01",646100,5,0,0.008468
"FALSE POSITIVE",5737869,"K06624.01",269.7,5,3.2031e-13,0.0004974
"FALSE POSITIVE",5771589,"K06625.01",11080,5,0,0.0001413
"FALSE POSITIVE",5781192,"K06626.01",24220000,5,0,-0.0008506
"FALSE POSITIVE",5802285,"K06627.01",6556,5,0,0
"FALSE POSITIVE",5802470,"K06628.01",5655000,5,-1,0.001264
"FALSE POSITIVE",5807579,"K06629.01",9996000,13,0,-0.006107
"CANDIDATE",5809372,"K06630.01",190.1,5,4.883e-22,3.563e-05
"CANDIDATE",5860347,"K06631.01",2540,26,1.839e-13,-5.726e-05
"FALSE POSITIVE",5871918,"K06632.01",1621000,53,-1,0.01124
"FALSE POSITIVE",5894825,"K06633.01",6287,13,2.3795e-15,-7.985e-06
"FALSE POSITIVE",5894972,"K06634.01",2517,5,-1,1.429e-06
"FALSE POSITIVE",5952309,"K06636.01",9703,5,2.3149e-20,-0.0002453
"FALSE POSITIVE",5952457,"K06637.01",8313,5,2.2127e-23,0.0001839
"FALSE POSITIVE",5962514,"K06639.01",1389000,8,-1,0.001287
"FALSE POSITIVE",5962716,"K06640.01",2492000,18,-1,0
"CANDIDATE",5966732,"K06641.01",4569,8,4.4255e-15,0.0002496
"FALSE POSITIVE",5977541,"K06642.01",8184,13,1.0689e-42,-0.0002384
"FALSE POSITIVE",5983348,"K06644.01",151100,5,0,0.0008008
"FALSE POSITIVE",5990753,"K06645.01",1222,57,1.484e-97,0
"CANDIDATE",6019971,"K06646.01",815.6,5,5.5625e-15,6.366e-05
"FALSE POSITIVE",6029130,"K06647.01",7064000,5,-1,0.003161
"FALSE POSITIVE",6041511,"K06649.01",9403,26,6.985e-15,1.147e-05
"FALSE POSITIVE",6042116,"K06650.01",15140000,13,-1,-0.002113
"FALSE POSITIVE",6042663,"K06651.01",1946000,5,0,-0.001142
"FALSE POSITIVE",6044064,"K06652.01",25970000,5,-1,0
"FALSE POSITIVE",6046311,"K06654.01",9064,5,-1,-2.468e-05
"FALSE POSITIVE",6048106,"K06655.01",753400,8,-1,0
"FALSE POSITIVE",6048255,"K06656.01",14070,8,-1,0
"FALSE POSITIVE",6057750,"K06657.01",5511,26,2.3548e-36,1.577e-05
"FALSE POSITIVE",6060580,"K06658.01",219500,5,0,-0.0005342
"FALSE POSITIVE",6063448,"K06659.01",183900,5,0,0.04067
"FALSE POSITIVE",6103049,"K06662.01",397700,5,-1,0.001157
"FALSE POSITIVE",6109688,"K06663.01",655000,5,0,0.009108
"FALSE POSITIVE",6111011,"K06664.01",533.9,5,2.7081e-13,0.0001191
"FALSE POSITIVE",6128141,"K06665.01",5021,5,0,0.0002153
"CANDIDATE",6128245,"K06666.01",6656,5,6.7972e-16,-4.729e-05
"FALSE POSITIVE",6131659,"K06667.01",58620000,5,-1,0.02291
"FALSE POSITIVE",6146838,"K06668.01",1067000,5,0,0.0183
"FALSE POSITIVE",6147573,"K06669.01",6552000,5,0,0.01332
"FALSE POSITIVE",6152521,"K06670.01",2170,8,-1,-1.829e-05
"FALSE POSITIVE",6185717,"K06671.01",103600,5,0,-0.008722
"CANDIDATE",6187508,"K06672.01",2487,5,4.9874e-18,0.000353
"FALSE POSITIVE",6205460,"K06673.01",17410000,5,-1,-0.03625
"FALSE POSITIVE",6206751,"K06674.01",4242000,18,-1,-0.0001694
"FALSE POSITIVE",6207053,"K06675.01",12490,5,4.7715e-35,-0.000179
"FALSE POSITIVE",6220470,"K06677.01",2471000,8,-1,0
"FALSE POSITIVE",6228703,"K06678.01",16520000,13,0,-0.00183
"FALSE POSITIVE",6231401,"K06679.01",85440,5,-1,0.02509
"CANDIDATE",6265961,"K06680.01",1145,26,3.1662e-16,-0.0002065
"FALSE POSITIVE",6283224,"K06682.01",3419000,8,-1,-0.008437
"FALSE POSITIVE",6285094,"K06683.01",756.7,8,4.8092e-19,-0.0001582
"FALSE POSITIVE",6285396,"K06684.01",1420,5,1.9902e-19,0.0002969
"FALSE POSITIVE",6285397,"K06685.01",1464,5,8.908e-22,0.0002398
"FALSE POSITIVE",6292732,"K06686.01",5405,26,3.28e-29,9.231e-05
"CANDIDATE",6307000,"K06687.01",7573,5,2.6147e-17,0.0002594
"FALSE POSITIVE",6311637,"K06688.01",788700,5,-1,0.01244
"CANDIDATE",6345758,"K06689.01",1923,5,1.1557e-17,-7.184e-05
"FALSE POSITIVE",6364126,"K06690.01",1383,8,8.8098e-22,0.0001562
"FALSE POSITIVE",6364195,"K06691.01",1452,5,2.5214e-16,0.0002559
"FALSE POSITIVE",6364200,"K06692.01",1595,5,6.4922e-22,0.0002148
"FALSE POSITIVE",6364247,"K06693.01",1629,5,1.0872e-24,8.057e-05
"FALSE POSITIVE",6364294,"K06694.01",1536,5,4.7403e-17,0.0001966
"FALSE POSITIVE",6367628,"K06696.01",912400,5,-1,-0.0007366
"FALSE POSITIVE",6372268,"K06698.01",5377,13,-1,7.155e-05
"FALSE POSITIVE",6384840,"K06699.01",2790,8,2.6494e-15,1.275e-05
"FALSE POSITIVE",6386784,"K06700.01",4163,5,9.4209e-24,-5.891e-05
"FALSE POSITIVE",6390236,"K06701.01",6726,5,1.3106e-12,-1.985e-05
"FALSE POSITIVE",6421188,"K06702.01",124900,5,0,-0.03303
"FALSE POSITIVE",6421483,"K06703.01",460400,5,-1,-0.0001581
"CANDIDATE",6423922,"K06705.01",6105,13,4.4225e-32,3.528e-05
"CANDIDATE",6436505,"K06707.01",180.2,5,2.9758e-22,7.864e-05
"FALSE POSITIVE",6436505,"K06707.02",362.2,5,1.2201e-16,0.000297
"FALSE POSITIVE",6437993,"K06708.01",4191,5,7.7484e-12,4.971e-06
"FALSE POSITIVE",6442246,"K06709.01",3460,5,2.1541e-15,-1.001e-05
"FALSE POSITIVE",6443392,"K06710.01",1898000,13,-1,7.776e-05
"FALSE POSITIVE",6447326,"K06711.01",1645,5,3.2853e-19,-9.383e-05
"FALSE POSITIVE",6448768,"K06712.01",253500,57,-1,0.01632
"FALSE POSITIVE",6449291,"K06713.01",1267,5,2.9888e-16,-6.754e-05
"FALSE POSITIVE",6449552,"K06714.01",38110000,5,-1,0.3201
"CANDIDATE",6452742,"K06715.01",1947000,5,-1,0.0003289
"FALSE POSITIVE",6464285,"K06716.01",16340000,5,-1,0.6426
"FALSE POSITIVE",6466939,"K06717.01",20250000,5,0,0
"FALSE POSITIVE",6468938,"K06718.01",1444000,5,-1,-0.0003476
"FALSE POSITIVE",6471229,"K06719.01",4495,5,6.0003e-32,-4.531e-06
"FALSE POSITIVE",6471230,"K06720.01",4245,5,1.1343e-19,-9.344e-05
"FALSE POSITIVE",6521174,"K06721.01",937.9,5,1.4159e-25,-0.003824
"FALSE POSITIVE",6521542,"K06722.01",66220000,5,-1,0.02457
"FALSE POSITIVE",6522353,"K06723.01",9040,5,5.3348e-20,-0.0007162
"FALSE POSITIVE",6522750,"K06724.01",96990000,18,-1,0
"FALSE POSITIVE",6523216,"K06725.01",133700,57,0,-5.571e-06
"FALSE POSITIVE",6531485,"K06726.01",803600,5,-1,-0.001152
"FALSE POSITIVE",6543682,"K06728.01",22770000,14,-1,0.01296
"FALSE POSITIVE",6545018,"K06729.01",77250000,5,-1,0
"FALSE POSITIVE",6548447,"K06730.01",4427000,5,-1,-0.02085
"CANDIDATE",6551106,"K06731.01",2108,5,1.4034e-16,-6.406e-05
"FALSE POSITIVE",6584167,"K06732.01",8408,13,1.4316e-14,1.208e-05
"CANDIDATE",6584278,"K06733.01",5083,26,5.9679e-14,8.183e-05
