"koi_disposition","kepid","kepoi_name","tce_insol","tce_mesmedian","tce_fwm_pdeco","tce_depth_sn","tce_fwm_pdeco_sn","tce_dicco_msky_sn"
"CANDIDATE",4945877,"K01936.01",33482.01,-0.2069,-0.0002269,26.896759911451,-15.541095890411,43.7497461928934
"CANDIDATE",10190777,"K01937.01",435.15,-0.3004,-0.0001265,49.5786516853932,-2.86199095022624,0.66368932038835
"CANDIDATE",9651234,"K01938.01",2.65,0.01324,-9.98e-05,40.2662307333022,-0.368265682656827,1.59118644067797
"CANDIDATE",7045496,"K01939.01",38.31,0.03905,-0.0001573,31.5190415062045,-0.542413793103448,0.359123853211009
"CANDIDATE",10005788,"K01940.01",16.29,0.01019,-2.22e-05,26.8335343787696,-0.0641618497109827,0.68055900621118
"FALSE POSITIVE",5213902,"K01941.01",2519.71,-0.3707,0.0003291,24.6296597753541,5.87678571428571,16.7134502923977
"CANDIDATE",2832589,"K01942.01",49.43,-0.007619,4.872e-05,35.4808296668762,0.237658536585366,9.22774869109948
"CANDIDATE",2832589,"K01942.02",362.65,-0.1132,-0.0002525,6.1492673992674,-1.59810126582278,7.11928104575163
"CANDIDATE",7810483,"K01943.01",88.7,-0.03072,0.0001887,32.2086466165414,1.5096,2.77589743589744
"CANDIDATE",2438513,"K01944.01",106.63,-0.003185,-0.0003312,29.5479535736103,-1.46548672566372,1.05852760736196
"FALSE POSITIVE",2438513,"K01944.02",176.18,-0.04055,-0.006213,12.7015793848712,-38.5900621118012,20.4018867924528
"CANDIDATE",11656918,"K01945.01",17.91,0.0248,0.0004854,34.6666666666667,1.25751295336788,1.71818181818182
"CANDIDATE",10844890,"K01946.01",139.49,-0.007267,-0.0004448,35.1140684410646,-4.71686108165429,6.86751269035533
"CANDIDATE",12253474,"K01947.01",270.64,-0.04558,8.868e-06,27.3135285317376,0.246333333333333,5.3801703163017
"FALSE POSITIVE",9536692,"K01948.01",19.48,-0.02117,0.0009112,33.7044054950261,1.72575757575758,14.275
"FALSE POSITIVE",3122985,"K01949.01",3180.06,0.1154,-0.001173,59.3065693430657,-4.51153846153846,1.52096354166667
"CANDIDATE",3118797,"K01950.01",4.71,-0.03383,0.001897,30.7208588957055,2.31907090464548,3.57073170731707
"CANDIDATE",8081187,"K01951.01",1772.8,-0.03485,9.55e-05,35.512058720727,0.981500513874615,0.557489711934156
"CANDIDATE",7747425,"K01952.01",184.59,-0.2181,6.791e-05,31.0348468848997,0.522384615384615,0.255582524271845
"CANDIDATE",7747425,"K01952.02",35.36,-0.0611,-0.0002885,21.3427109974425,-1.38701923076923,1.25984790874525
"CANDIDATE",7747425,"K01952.03",19.96,-0.1817,0.0003516,18.1647058823529,1.52869565217391,0.385044642857143
"CANDIDATE",7747425,"K01952.04",328.77,-0.4101,-0.0001444,15.0386847195358,-1.27787610619469,1.98955782312925
"FALSE POSITIVE",8652999,"K01953.01",107.74,-0.004043,0.004731,26.2455830388693,42.2410714285714,81.6148148148148
"FALSE POSITIVE",9468717,"K01954.01",344.45,-0.09721,-0.0005052,30.3071120689655,-12.4433497536946,31.8591666666667
"CANDIDATE",9892816,"K01955.01",158.63,-0.006598,3.846e-05,34.7852573865367,0.510756972111554,1.36886861313869
"CANDIDATE",9892816,"K01955.02",44.35,-0.08008,0.0001241,23.2954545454546,1.25480283114257,3.25875471698113
"CANDIDATE",9892816,"K01955.03",3069.64,-0.2191,1.796e-05,15.659635323561,0.627972027972028,0.250067204301075
"CANDIDATE",9892816,"K01955.04",76.42,-0.02094,2.294e-05,14.03861003861,0.191166666666667,2.31131284916201
