"koi_disposition","kepid","kepoi_name","tce_ldm_coeff1","tce_ptemp_stat","tce_fwm_pdeco","tce_dikco_mra","tce_dikco_mdec","tce_dikco_msky","tce_sradius_sn","tce_ptemp_sn","tce_dicco_mra_sn","tce_dikco_msky_sn"
"FALSE POSITIVE",8559589,"K03697.01",0.3085016,7.335,0.0006492,0.050399,-0.18474,0.19149,3.35238095238095,7.92554510064068,0.817925311203319,2.20356731875719
"FALSE POSITIVE",4372765,"K03698.01",0.4232566,19.7,0,-0.12682,0.28838,0.31504,3.00656455142232,26.0940721649485,-2.47073825503356,4.4686524822695
"FALSE POSITIVE",2438490,"K03699.01",0.5123232,4.061,-0.001798,0.11777,0.023345,0.12006,4.26633165829146,7.90964117312644,1.1154188034188,1.60508021390374
"FALSE POSITIVE",3838496,"K03700.01",0.4997976,-1.193,0.01921,0.033024,-0.35302,0.35456,0,11.1330020461853,127.618453865337,4.62268578878748
"FALSE POSITIVE",6470521,"K03701.01",0.3634348,0.1191,0,-2.197,-6.2962,6.6685,2.87660668380463,22.1253851306095,-32.3260869565217,94.4546742209632
"FALSE POSITIVE",2449090,"K03702.01",0.4997976,4.649,-0.06332,-0.77996,0.79706,1.1152,0,6.62906479613555,33.5399103139013,15.3608815426997
"FALSE POSITIVE",5652260,"K03703.01",0.4606206,2.971,-0.01955,0.07866,0.040302,0.088384,3.53941908713693,9.01554318469933,0.555403111739745,1.16294736842105
"FALSE POSITIVE",2569494,"K03704.01",0.574279,1.935,0,-0.036395,0.033622,0.049548,5.89115646258503,19.3645845540841,-5.93209523809524,0.563045454545455
"FALSE POSITIVE",6470516,"K03705.01",0.4591544,0,0,-0.067976,-0.031432,0.074891,3.97556390977444,0,-33.0799418604651,0.993249336870027
"FALSE POSITIVE",7770471,"K03706.01",0.336818,0,0,-0.003173,-0.072137,0.072207,3.24601366742597,0,-0.0194416167664671,1.0510480349345
"FALSE POSITIVE",5130380,"K03707.01",0.36164,19.25,-0.01609,-0.03391,-0.050849,0.061119,3.64401294498382,29.5394302045191,32.9271592091571,0.828170731707317
"FALSE POSITIVE",6314173,"K03708.01",0.2627848,0,0,-0.057154,-0.32859,0.33352,3.04665629860031,0,-39.318763326226,4.3370611183355
"FALSE POSITIVE",2576107,"K03709.01",0.2257896,11.56,0.02566,-0.0030142,0.087399,0.087451,3.13356164383562,14.379188580015,-2.26376712328767,1.10417929292929
"FALSE POSITIVE",9532421,"K03710.01",0.6617752,11.49,-0.029,0.016711,-0.14313,0.1441,10.2467532467532,17.0216849307126,-4.69493949394939,1.42673267326733
"FALSE POSITIVE",5653849,"K03711.01",0.3354178,30.25,-0.04754,-2.4144,1.7067,2.9567,6.31707317073171,33.3763063357283,-32.3679245283019,32.888765294772
"FALSE POSITIVE",2437060,"K03712.01",0.7307496,0,0.009735,-0.11904,-0.15333,0.19411,1.74686346863469,0,3.35074534161491,2.04757383966245
"FALSE POSITIVE",8127648,"K03713.01",0.4997976,-2.258,-0.07658,-0.016278,-0.76226,0.76243,0,3.55931930772695,101.275956284153,10.3310298102981
"FALSE POSITIVE",11564013,"K03714.01",0.2034216,9.078,0.003864,0.10979,0.05595,0.12322,4.06334841628959,20.5310544338174,1.5664201183432,1.82818991097923
"FALSE POSITIVE",4937143,"K03715.01",0.2357536,11.38,-0.01008,-0.03958,-0.041907,0.057644,3.35038363171356,14.7592621060723,0.268450881612091,0.747652399481193
"FALSE POSITIVE",8719324,"K03716.01",0.2262456,4.235,6.79e-05,0.12928,0.021613,0.13108,3.28853754940711,7.55866942853661,1.69015748031496,1.60244498777506
"FALSE POSITIVE",8719324,"K03716.02",0.2262456,4.986,1.914e-05,-0.18936,0.050362,0.19595,3.28853754940711,7.72129040033746,-1.772,1.97331319234643
"FALSE POSITIVE",11241814,"K03717.01",0.2996532,6.358,-0.002535,-0.10117,0.38792,0.40089,3.3016393442623,7.82874442038273,-0.739688888888889,3.31314049586777
"FALSE POSITIVE",5036537,"K03718.01",0.7188074,0.5935,-0.3866,1.0505,7.6118,7.6839,3.9957805907173,7.97203856749311,4.69290989660266,110.719020172911
"FALSE POSITIVE",9837083,"K03719.01",0.6397584,7.082,0.007381,-0.65579,-0.76175,1.0051,10.4754098360656,15.5354440693749,-9.54754316069057,13.7121418826739
"FALSE POSITIVE",10735331,"K03720.01",0.3152318,7.067,-0.00028,-0.18448,-0.14569,0.23507,3.90191897654584,9.75875611986872,0.25511013215859,2.95314070351759
"FALSE POSITIVE",7763269,"K03721.01",0.3035384,0.9394,7.07e-06,-0.0952,-0.0015397,0.095213,3.30747922437673,4.72360838350343,-0.174283604135894,1.40639586410635
"FALSE POSITIVE",8365739,"K03722.01",0.4711264,7.775,-0.001076,-0.023787,-0.017972,0.029813,3.58364312267658,31.1873969823761,-0.966870342771982,0.445635276532138
"FALSE POSITIVE",5471606,"K03723.01",0.8690968,0,0,10.429,3.7947,11.098,2.55467511885895,0,18.6143911439114,161.308139534884
"FALSE POSITIVE",11200405,"K03724.01",0.2178596,7.441,-0.000631,0.19494,-0.18721,0.27027,3.58558558558559,26.2036890122967,0,2.47954128440367
"FALSE POSITIVE",3459199,"K03725.01",0.5605936,0,-8.684e-05,0.54357,0.091854,0.55128,2.5,0,1.15491266375546,1.11821501014199
"FALSE POSITIVE",6973796,"K03726.01",0.7324804,11.96,0.009906,-0.13373,-0.011215,0.1342,10.9701492537313,14.0802777344359,-9.86974169741697,1.90084985835694
"CANDIDATE",7515679,"K03728.01",0.4731568,1.129,3.398e-05,0.028489,0.1278,0.13093,1.78155339805825,16.0749440715884,-0.197790530846485,1.79356164383562
"FALSE POSITIVE",9674592,"K03729.01",0.4356246,5.091,0.111,3.0747,-4.6682,5.5898,4.19270833333333,6.28918826506189,39.185628742515,78.179020979021
"FALSE POSITIVE",9674592,"K03729.02",0.4356246,2.332,0.1016,3.0623,-4.66,5.5761,4.19270833333333,5.96967571581814,37.3309455587393,78.2061711079944
"FALSE POSITIVE",10879213,"K03730.01",0,0,-1.709,0.14686,-0.077343,0.16598,0,0,66.6616989567809,2.16401564537158
"FALSE POSITIVE",5650314,"K03731.01",0.6382922,0.563,0.05467,1.7414,-2.4208,2.9821,9.06944444444444,6.75659055395937,2.5949504950495,2.63902654867257
"FALSE POSITIVE",8302302,"K03732.01",0.2878818,0,0,-4.8149,3.3768,5.881,3.28965517241379,0,-55.7935723114957,72.6946847960445
"FALSE POSITIVE",9655858,"K03733.01",0.4997976,1.498,0.3247,0.98341,-2.7832,2.9518,0,1.74591681161288,-36.2444444444444,43.8603268945022
"FALSE POSITIVE",10275880,"K03734.01",0.3553316,5.255,0.2879,0,0,0,2.84228971962617,29.9832572298326,0,0
"FALSE POSITIVE",2166200,"K03735.01",0.2727472,1.995,0.01143,-0.083582,0.14467,0.16707,3.5273631840796,7.21572589131624,-98.2628032345014,2.12557251908397
"FALSE POSITIVE",3547315,"K03736.01",0.4889996,-4.827,-0.01385,-0.066059,0.011495,0.067052,5.03821656050955,5.77414939382088,8.42202166064982,0.882263157894737
"FALSE POSITIVE",6933781,"K03737.01",0.284224,4.609,0.003565,-2.4089,-1.5087,2.8424,3.05253623188406,5.30556629577122,-3.7678800856531,5.76551724137931
"FALSE POSITIVE",5478083,"K03738.01",0.4997976,11.76,0.392,2.1387,-5.5072,5.9079,0,22.0499290780142,1.14361538461538,84.6404011461318
"FALSE POSITIVE",10857342,"K03739.01",0.4719172,0,0,0.054433,-0.10963,0.1224,1.86780626780627,0,0.00545853293413174,1.61052631578947
"FALSE POSITIVE",5215700,"K03740.01",0.4493852,0,0,-0.030894,-0.10146,0.10606,3.14150943396226,0,-0.982177419354839,1.53265895953757
"FALSE POSITIVE",8780959,"K03741.01",0.263312,-2.229,0,8.1189,0.20428,8.1214,3.52094240837696,2.98104696069841,114.405099150142,116.02
"FALSE POSITIVE",8780959,"K03741.02",0.263312,4.009,0,-0.30712,-0.11438,0.32773,3.52094240837696,7.03255308262983,-1.6765625,1.74324468085106
"CANDIDATE",8780959,"K03741.03",0.263312,6.757,0,-0.46423,0.10822,0.47668,3.52094240837696,9.93859931359932,-0.94118609406953,0.887672253258845
"FALSE POSITIVE",8780959,"K03741.04",0.263312,0,0,7.7037,0.25189,7.7079,3.52094240837696,0,5.98421875,6.94405405405405
"FALSE POSITIVE",5565486,"K03742.01",0.289973,0,0.113,-0.058675,-0.0066892,0.059055,3.41279069767442,0,-162.556053811659,0.85711175616836
"FALSE POSITIVE",4935914,"K03743.01",0.4997976,5.817,-0.001214,-0.27035,-0.54757,0.61067,0,9.09975416552854,-136.787142857143,6.42134595162986
"FALSE POSITIVE",11303811,"K03744.01",0.296143,11.55,0.009215,0.01367,0.097916,0.098866,13.4318181818182,19.9103414566022,0.6427545691906,1.44540935672515
"FALSE POSITIVE",2437783,"K03745.01",0.4997976,3.599,0.0251,2.4685,-2.85,3.7704,0,5.24764480265832,-2.18054968287526,35.2373831775701
"FALSE POSITIVE",12062660,"K03746.01",0.4997976,5.573,0.01474,-1.7679,-2.2605,2.8697,0,14.6710949217913,-67.8542141230068,30.5287234042553
