"koi_disposition","kepid","kepoi_name","tce_insol","tce_mesmedian","tce_fwm_prao","tce_fwm_pdeco_sn","tce_dicco_msky_sn"
"CANDIDATE",7908367,"K06166.01",340.69,-0.09953,0.0005567,0.68019801980198,2.53672727272727
"CANDIDATE",7908367,"K06166.02",151.65,0.01603,-0.0002482,0.342511346444781,0.890530973451327
"FALSE POSITIVE",7940533,"K06167.01",253.82,0.3242,-0.0002525,0.0277232142857143,0.122940119760479
"FALSE POSITIVE",8043882,"K06169.01",4582.73,-1.07,0.0001843,0.0911060948081264,4.12823674475956
"FALSE POSITIVE",8095099,"K06171.01",1104.82,0.02919,0,0,17.5330188679245
"FALSE POSITIVE",8197761,"K06175.01",744.6,-0.02452,0.000666,-0.356514657980456,1.79860655737705
"FALSE POSITIVE",8265156,"K06177.01",4800.56,0.2743,-2.687e-05,2.21780303030303,0.936717325227963
"CANDIDATE",8355178,"K06178.01",101.53,-0.09062,0,-0.413888888888889,1.30494318181818
"CANDIDATE",8374077,"K06179.01",72.72,0.01784,-0.0002297,0.188075313807531,2.48875502008032
"FALSE POSITIVE",8517303,"K06181.01",602.95,0.01491,-4.196e-05,-0.265510204081633,1.15273224043716
"CANDIDATE",8590149,"K06182.01",24.22,0.02238,0.0001824,-2.01771653543307,0.0497881818181818
"FALSE POSITIVE",8590780,"K06183.01",1138.85,0.05052,0.006136,-0.370123456790123,0.0945112443778111
"CANDIDATE",8653134,"K06186.01",96.66,0.06298,-0.0005058,1.65862068965517,0.827127071823205
"FALSE POSITIVE",8702921,"K06187.01",466.84,-0.1108,-0.0001134,0,0.54479305740988
"FALSE POSITIVE",8822421,"K06188.01",667.26,0.1582,0.0004307,-0.229190476190476,0.103879222108495
"FALSE POSITIVE",8957954,"K06189.01",1042.28,-0.08778,0.0007348,0.00934310850439883,0.0354437781109445
"FALSE POSITIVE",8984706,"K06190.01",271.36,-1.723,0.005412,-0.151715160796325,0.274782608695652
"CANDIDATE",9093086,"K06191.01",178.92,-0.04706,-0.0001259,-0.498759124087591,1.46081632653061
