"koi_disposition","kepid","kepoi_name","tce_ldm_coeff4","tce_prad","tce_steff","tce_fwm_prao"
"CANDIDATE",10019708,"K00199.01",-0.1424784,17.39,5927,0.0004907
"FALSE POSITIVE",10019708,"K00199.02",-0.1424784,3.408,5927,-0.0009013
"CANDIDATE",6046540,"K00200.01",-0.179859,14.72,6056,-0.0002521
"CANDIDATE",6849046,"K00201.01",-0.4810704,9.246,5574,0.0001861
"CANDIDATE",7877496,"K00202.01",-0.347005,13.22,5742,-0.001587
"CANDIDATE",10619192,"K00203.01",-0.4209304,14.45,5624,0.000807
"CANDIDATE",9305831,"K00204.01",-0.3227872,12.89,5763,0.001239
"CANDIDATE",7046804,"K00205.01",-0.4765064,8.155,5215,0.002979
"CANDIDATE",5728139,"K00206.01",0.1407936,13.23,6332,7.626e-06
"CANDIDATE",3762468,"K00208.01",-0.0065776,11,6311,-0.0008451
"CANDIDATE",10723750,"K00209.01",0.0696318,10.68,6163,-0.000125
"CANDIDATE",10723750,"K00209.02",0.0696318,7.393,6163,-0.0001188
"FALSE POSITIVE",10602291,"K00210.01",0.0506104,15.21,6126,0.0005884
"CANDIDATE",10656508,"K00211.01",-0.2437448,11.26,5822,0.0007906
"CANDIDATE",6300348,"K00212.01",0.0755938,6.75,6106,-0.0008977
"FALSE POSITIVE",9164836,"K00213.01",0.0861532,34.79,6003,-0.008019
"CANDIDATE",11046458,"K00214.01",-0.5136492,9.726,5461,0.0002351
"FALSE POSITIVE",12508335,"K00215.01",-0.00734,14.19,5750,0.0009722
"CANDIDATE",6152974,"K00216.01",-0.5416348,6.656,5064,0.001078
"CANDIDATE",6152974,"K00216.02",-0.5416348,1.728,5064,0.0004392
"CANDIDATE",9595827,"K00217.01",-0.4381416,12.84,5543,0.001912
"FALSE POSITIVE",9838975,"K00218.01",-0.340948,14.76,5190,0.001143
"CANDIDATE",6305192,"K00219.01",-0.0504048,8.164,6002,-0.0002373
"CANDIDATE",7132798,"K00220.01",-0.2990004,3.884,5598,-5.631e-06
"CANDIDATE",7132798,"K00220.02",-0.2990004,1.039,5598,2.054e-05
"CANDIDATE",3937519,"K00221.01",-0.4706284,6.94,5392,-0.0002326
"CANDIDATE",3937519,"K00221.02",-0.4706284,1.541,5392,-7.155e-05
"CANDIDATE",4249725,"K00222.01",-0.0126,2.311,4090,0.0002262
