"koi_disposition","kepid","kepoi_name","tce_maxmesd","tce_fwm_prao","tce_fwm_pdeco","tce_dikco_mra_sn"
"FALSE POSITIVE",11182260,"K07415.01",0.5795,-0.0005971,-0.0005293,0.447415254237288
"CANDIDATE",11187972,"K07416.01",2.472,1.592e-05,5.878e-05,1.05766129032258
"FALSE POSITIVE",11198723,"K07417.01",3.398,-0.006587,-0.01953,-0.47544776119403
"FALSE POSITIVE",11199725,"K07418.01",0.3125,-9.386e-05,-8.702e-05,2.01540389972145
"FALSE POSITIVE",11200773,"K07419.01",1.246,-0.03455,0.003653,2.81686217008798
"FALSE POSITIVE",11228612,"K07420.01",1.493,0,-0.02073,-1.05797634691196
"FALSE POSITIVE",11232745,"K07421.01",3.564,0.001144,-0.000894,-1.11802556818182
"FALSE POSITIVE",11233911,"K07422.01",1.778,0.0005941,-0.002679,0.00750635838150289
"FALSE POSITIVE",11234677,"K07423.01",0.7917,0.01039,0,-0.134871572871573
"FALSE POSITIVE",11235323,"K07424.01",9.835,0.008208,-0.002243,0.850610119047619
"FALSE POSITIVE",11240948,"K07425.01",-0.5375,5.516e-05,7.354e-06,0.171808917197452
"CANDIDATE",11241560,"K07426.01",4.222,0.0001879,-0.0001768,1.26794392523364
"CANDIDATE",11244571,"K07427.01",3.126,-2.389e-05,2.339e-05,-1.23609126984127
"FALSE POSITIVE",11250867,"K07428.01",1.125,0.002874,0,-0.744170403587444
"FALSE POSITIVE",11251058,"K07429.01",1.1,2.15e-05,7.638e-05,-0.379425675675676
"CANDIDATE",11282568,"K07430.01",0.658,7.103e-05,0,-2.44689119170984
"FALSE POSITIVE",11285625,"K07431.01",0.6879,0.05696,-0.07134,-3.06775862068966
"CANDIDATE",11286311,"K07432.01",2.14,-0.0001038,8.366e-05,0.082579766536965
"FALSE POSITIVE",11287726,"K07433.01",2.37,0.008921,0.007624,0.467390070921986
"CANDIDATE",11288492,"K07434.01",3.883,-0.0005183,-9.231e-05,0.359118541033435
"CANDIDATE",11288772,"K07435.01",0.8688,-9.598e-05,-2.753e-05,0.599440459110474
"FALSE POSITIVE",11295085,"K07436.01",0.849,1.595e-06,-8.704e-06,-0.459088471849866
"CANDIDATE",11296724,"K07437.01",0.4063,9.624e-05,0.000116,0.950095389507154
