"koi_disposition","kepid","kepoi_name","tce_dor","tce_sradius_prov","tce_fwm_prao","tce_incl_sn"
"CANDIDATE",8292840,"K00260.02",7.4977672,0,1.493e-05,40.3055286129971
"CANDIDATE",8292840,"K00260.03",8.9315312,0,-4.144e-05,146.607205316544
"CANDIDATE",5383248,"K00261.01",19.369383,0,-0.0001819,343.759811616954
"CANDIDATE",11807274,"K00262.01",14.261423,0,-8.77e-06,33.1898539584935
"CANDIDATE",11807274,"K00262.02",2.9405332,0,-3.192e-06,88.4147106815614
"FALSE POSITIVE",10514430,"K00263.01",62.730998,0,5.173e-05,32.5
"FALSE POSITIVE",3097346,"K00264.01",2.2360064,0,-0.004655,40.4292929292929
"CANDIDATE",12024120,"K00265.01",3.846693,0,4.349e-05,8.19946380697051
"CANDIDATE",7375348,"K00266.01",17.557806,0,-1.537e-05,54.2101990049751
"CANDIDATE",7375348,"K00266.02",30.01437,0,-0.0001124,195.496894409938
"CANDIDATE",3425851,"K00268.01",55.182573,0,0.000119,377.683854606932
"CANDIDATE",7670943,"K00269.01",9.3342025,0,0,52.2139764996908
"CANDIDATE",6528464,"K00270.01",7.7783003,0,-3.269e-05,24.9463007159905
"CANDIDATE",6528464,"K00270.02",19.539543,0,-6.429e-05,55.2774274905422
"CANDIDATE",9451706,"K00271.01",18.751643,0,-0.0002136,146.410041841004
