"koi_disposition","kepid","kepoi_name","tce_time0","tce_full_conv","tce_fwm_prao","tce_steff_sn","tce_fwm_prao_sn"
"FALSE POSITIVE",10617638,"K03016.01",2454970,1,0.001161,30.6910994764398,13.8379022646007
"CANDIDATE",12072872,"K03017.01",2454970,1,5.669e-05,37.062893081761,1.00871886120996
"FALSE POSITIVE",7906671,"K03018.01",2454990,1,-0.001191,33.644578313253,-4.14982578397213
"CANDIDATE",8709688,"K03019.01",2454970,1,-0.000147,74.1184210526316,-0.973509933774834
"CANDIDATE",8709688,"K03019.02",2454960,1,1.283e-05,74.1184210526316,0.11353982300885
"CANDIDATE",8241079,"K03020.01",2454970,1,-0.000155,66.8023255813954,-2.00777202072539
"FALSE POSITIVE",3348285,"K03021.01",2454960,1,-0.00059,28.7649769585253,-12.0162932790224
"CANDIDATE",11618601,"K03022.01",2454970,1,-7.994e-05,33.364161849711,-0.429784946236559
"CANDIDATE",11618601,"K03022.02",2454970,1,-0.0001045,33.364161849711,-0.495260663507109
"FALSE POSITIVE",7732285,"K03023.01",2454970,1,-0.0001137,28.3215859030837,-2.51548672566372
"CANDIDATE",9716391,"K03025.01",2454970,1,-0.0005586,29.0918918918919,-1.46614173228346
"CANDIDATE",6929841,"K03026.01",2454970,1,-0.0004535,29.2758620689655,-2.09953703703704
"CANDIDATE",11137180,"K03027.01",2454970,1,0.0001855,30.578313253012,0.633105802047782
"FALSE POSITIVE",9838804,"K03028.01",2454970,1,-1.503e-05,27.8743718592965,-0.108913043478261
"CANDIDATE",5903749,"K03029.01",2454970,1,-0.0005862,67.0886075949367,-1.38581560283688
"CANDIDATE",5903749,"K03029.02",2454970,1,0.0001093,67.0886075949367,0.55765306122449
"FALSE POSITIVE",5524881,"K03030.01",2454970,1,0.0001253,24.0076923076923,0.602403846153846
"CANDIDATE",6949898,"K03031.01",2454970,1,-0.0002932,33.3786982248521,-1.34495412844037
"CANDIDATE",10585738,"K03032.01",2454960,1,0.0001234,28.7258064516129,0.757055214723926
